Exporter,Importer,cross,Year,Quantity_mt ,Value_usd ,Unnamed: 6,Import trade _metric Tons,Import trade _Values _USD ,country1,country2,longitude1,latitude1,longitude2,latitude2
1,2,NGA_EGY,2009,0,0,,35,136,NGA,EGY,7.995127754089786,9.548318418209965,29.844461513124415,26.50661999974957
1,2,NGA_EGY,2020,0,0,,103,90,NGA,EGY,7.995127754089786,9.548318418209965,29.844461513124415,26.50661999974957
1,2,NGA_EGY,2021,0,0,,0,1,NGA,EGY,7.995127754089786,9.548318418209965,29.844461513124415,26.50661999974957
1,3,NGA_COD,2010,2280,551,,100,183,NGA,COD,7.995127754089786,9.548318418209965,23.582955831479083,-2.8502757110956667
1,3,NGA_COD,2011,0,0,,59,56,NGA,COD,7.995127754089786,9.548318418209965,23.582955831479083,-2.8502757110956667
1,3,NGA_COD,2022,0,0,,0,2,NGA,COD,7.995127754089786,9.548318418209965,23.582955831479083,-2.8502757110956667
1,4,NGA_TZA,2003,0,0,,735,598,NGA,TZA,7.995127754089786,9.548318418209965,34.75298985475595,-6.257732428506092
1,4,NGA_TZA,2020,24,36,,0,0,NGA,TZA,7.995127754089786,9.548318418209965,34.75298985475595,-6.257732428506092
1,4,NGA_TZA,2021,28,119,,0,0,NGA,TZA,7.995127754089786,9.548318418209965,34.75298985475595,-6.257732428506092
1,5,NGA_ZAF,2003,0,0,,13162,7533,NGA,ZAF,7.995127754089786,9.548318418209965,25.048013879861678,-28.947033259979115
1,5,NGA_ZAF,2006,0,0,,25589,18315,NGA,ZAF,7.995127754089786,9.548318418209965,25.048013879861678,-28.947033259979115
1,5,NGA_ZAF,2007,0,0,,8901,15596,NGA,ZAF,7.995127754089786,9.548318418209965,25.048013879861678,-28.947033259979115
1,5,NGA_ZAF,2008,0,0,,11,981,NGA,ZAF,7.995127754089786,9.548318418209965,25.048013879861678,-28.947033259979115
1,5,NGA_ZAF,2009,0,0,,485,756,NGA,ZAF,7.995127754089786,9.548318418209965,25.048013879861678,-28.947033259979115
1,5,NGA_ZAF,2010,0,0,,113,178,NGA,ZAF,7.995127754089786,9.548318418209965,25.048013879861678,-28.947033259979115
1,5,NGA_ZAF,2011,0,0,,154,225,NGA,ZAF,7.995127754089786,9.548318418209965,25.048013879861678,-28.947033259979115
1,5,NGA_ZAF,2012,0,0,,1088,658,NGA,ZAF,7.995127754089786,9.548318418209965,25.048013879861678,-28.947033259979115
1,5,NGA_ZAF,2013,608,6460,,850,29419,NGA,ZAF,7.995127754089786,9.548318418209965,25.048013879861678,-28.947033259979115
1,5,NGA_ZAF,2014,0,0,,190,361,NGA,ZAF,7.995127754089786,9.548318418209965,25.048013879861678,-28.947033259979115
1,5,NGA_ZAF,2015,0,0,,0,186,NGA,ZAF,7.995127754089786,9.548318418209965,25.048013879861678,-28.947033259979115
1,5,NGA_ZAF,2016,0,0,,0,2206,NGA,ZAF,7.995127754089786,9.548318418209965,25.048013879861678,-28.947033259979115
1,5,NGA_ZAF,2017,0,0,,0,191,NGA,ZAF,7.995127754089786,9.548318418209965,25.048013879861678,-28.947033259979115
1,5,NGA_ZAF,2018,0,0,,41,110,NGA,ZAF,7.995127754089786,9.548318418209965,25.048013879861678,-28.947033259979115
1,5,NGA_ZAF,2019,0,0,,46,331,NGA,ZAF,7.995127754089786,9.548318418209965,25.048013879861678,-28.947033259979115
1,5,NGA_ZAF,2020,0,0,,16,12,NGA,ZAF,7.995127754089786,9.548318418209965,25.048013879861678,-28.947033259979115
1,5,NGA_ZAF,2021,0,0,,129,140,NGA,ZAF,7.995127754089786,9.548318418209965,25.048013879861678,-28.947033259979115
1,5,NGA_ZAF,2022,0,0,,2160,2952,NGA,ZAF,7.995127754089786,9.548318418209965,25.048013879861678,-28.947033259979115
1,6,NGA_KEN,2017,0,0,,0,3,NGA,KEN,7.995127754089786,9.548318418209965,37.791555286661385,0.5959662521769523
1,6,NGA_KEN,2018,0,0,,0,1,NGA,KEN,7.995127754089786,9.548318418209965,37.791555286661385,0.5959662521769523
1,6,NGA_KEN,2019,0,0,,14,40,NGA,KEN,7.995127754089786,9.548318418209965,37.791555286661385,0.5959662521769523
1,6,NGA_KEN,2021,0,0,,1,1,NGA,KEN,7.995127754089786,9.548318418209965,37.791555286661385,0.5959662521769523
1,7,NGA_UGA,2010,0,0,,883,1409,NGA,UGA,7.995127754089786,9.548318418209965,32.35755031998686,1.2954855035097297
1,7,NGA_UGA,2011,0,0,,113,167,NGA,UGA,7.995127754089786,9.548318418209965,32.35755031998686,1.2954855035097297
1,7,NGA_UGA,2019,0,0,,1,3,NGA,UGA,7.995127754089786,9.548318418209965,32.35755031998686,1.2954855035097297
1,8,NGA_SDN,2009,2,1,,0,0,NGA,SDN,7.995127754089786,9.548318418209965,29.862604012257922,15.990585003116717
1,9,NGA_DZA,2008,0,0,,5058,7474,NGA,DZA,7.995127754089786,9.548318418209965,2.5980477916183444,28.185481278657537
1,9,NGA_DZA,2009,25,241,,10,176,NGA,DZA,7.995127754089786,9.548318418209965,2.5980477916183444,28.185481278657537
1,9,NGA_DZA,2010,0,0,,2936,11714,NGA,DZA,7.995127754089786,9.548318418209965,2.5980477916183444,28.185481278657537
1,9,NGA_DZA,2011,33,133,,4358,9711,NGA,DZA,7.995127754089786,9.548318418209965,2.5980477916183444,28.185481278657537
1,9,NGA_DZA,2012,0,0,,1608,4683,NGA,DZA,7.995127754089786,9.548318418209965,2.5980477916183444,28.185481278657537
1,10,NGA_MAR,2003,0,0,,3061,1853,NGA,MAR,7.995127754089786,9.548318418209965,-8.420479544549693,29.885394698302058
1,10,NGA_MAR,2006,0,0,,793,391,NGA,MAR,7.995127754089786,9.548318418209965,-8.420479544549693,29.885394698302058
1,10,NGA_MAR,2007,0,0,,3076,3221,NGA,MAR,7.995127754089786,9.548318418209965,-8.420479544549693,29.885394698302058
1,10,NGA_MAR,2008,0,0,,714,1019,NGA,MAR,7.995127754089786,9.548318418209965,-8.420479544549693,29.885394698302058
1,10,NGA_MAR,2012,0,0,,422,643,NGA,MAR,7.995127754089786,9.548318418209965,-8.420479544549693,29.885394698302058
1,10,NGA_MAR,2013,59,1093,,1908,10191,NGA,MAR,7.995127754089786,9.548318418209965,-8.420479544549693,29.885394698302058
1,10,NGA_MAR,2014,28,0,,488,4664,NGA,MAR,7.995127754089786,9.548318418209965,-8.420479544549693,29.885394698302058
1,10,NGA_MAR,2015,0,0,,0,5220,NGA,MAR,7.995127754089786,9.548318418209965,-8.420479544549693,29.885394698302058
1,10,NGA_MAR,2016,0,0,,0,6434,NGA,MAR,7.995127754089786,9.548318418209965,-8.420479544549693,29.885394698302058
1,10,NGA_MAR,2017,0,0,,0,14233,NGA,MAR,7.995127754089786,9.548318418209965,-8.420479544549693,29.885394698302058
1,10,NGA_MAR,2018,0,0,,2446,9885,NGA,MAR,7.995127754089786,9.548318418209965,-8.420479544549693,29.885394698302058
1,10,NGA_MAR,2019,0,0,,5655,10024,NGA,MAR,7.995127754089786,9.548318418209965,-8.420479544549693,29.885394698302058
1,10,NGA_MAR,2020,0,0,,5053,6157,NGA,MAR,7.995127754089786,9.548318418209965,-8.420479544549693,29.885394698302058
1,10,NGA_MAR,2021,0,0,,2787,10266,NGA,MAR,7.995127754089786,9.548318418209965,-8.420479544549693,29.885394698302058
1,10,NGA_MAR,2022,0,0,,4902,17104,NGA,MAR,7.995127754089786,9.548318418209965,-8.420479544549693,29.885394698302058
1,11,NGA_AGO,2003,0,0,,708,289,NGA,AGO,7.995127754089786,9.548318418209965,17.47057255231345,-12.245869036133188
1,11,NGA_AGO,2008,0,1,,0,0,NGA,AGO,7.995127754089786,9.548318418209965,17.47057255231345,-12.245869036133188
1,11,NGA_AGO,2009,77,30,,152,257,NGA,AGO,7.995127754089786,9.548318418209965,17.47057255231345,-12.245869036133188
1,11,NGA_AGO,2010,145,99,,4,1,NGA,AGO,7.995127754089786,9.548318418209965,17.47057255231345,-12.245869036133188
1,11,NGA_AGO,2011,0,0,,0,491,NGA,AGO,7.995127754089786,9.548318418209965,17.47057255231345,-12.245869036133188
1,11,NGA_AGO,2013,0,0,,1,1180,NGA,AGO,7.995127754089786,9.548318418209965,17.47057255231345,-12.245869036133188
1,11,NGA_AGO,2014,0,0,,4,3995,NGA,AGO,7.995127754089786,9.548318418209965,17.47057255231345,-12.245869036133188
